😀	emj_grinning_face
😃	emj_grinning_face_with_big_eyes
😄	emj_grinning_face_with_smiling_eyes
😁	emj_beaming_face_with_smiling_eyes
😆	emj_grinning_squinting_face
😅	emj_grinning_face_with_sweat
🤣	emj_rolling_on_the_floor_laughing
😂	emj_face_with_tears_of_joy
🙂	emj_slightly_smiling_face
🙃	emj_upside_down_face
😉	emj_winking_face
😊	emj_smiling_face_with_smiling_eyes
😇	emj_smiling_face_with_halo
🥰	emj_smiling_face_with_hearts
😍	emj_smiling_face_with_heart_eyes
🤩	emj_star_struck
😘	emj_face_blowing_a_kiss
😗	emj_kissing_face
☺	emj_smiling_face
😚	emj_kissing_face_with_closed_eyes
😙	emj_kissing_face_with_smiling_eyes
🥲	emj_smiling_face_with_tear
😋	emj_face_savoring_food
😛	emj_face_with_tongue
😜	emj_winking_face_with_tongue
🤪	emj_zany_face
😝	emj_squinting_face_with_tongue
🤑	emj_money_mouth_face
🤗	emj_hugging_face
🤭	emj_face_with_hand_over_mouth
🤫	emj_shushing_face
🤔	emj_thinking_face
🤐	emj_zipper_mouth_face
🤨	emj_face_with_raised_eyebrow
😐	emj_neutral_face
😑	emj_expressionless_face
😶	emj_face_without_mouth
😶‍🌫️	emj_face_in_clouds
😏	emj_smirking_face
😒	emj_unamused_face
🙄	emj_face_with_rolling_eyes
😬	emj_grimacing_face
😮‍💨	emj_face_exhaling
🤥	emj_lying_face
😌	emj_relieved_face
😔	emj_pensive_face
😪	emj_sleepy_face
🤤	emj_drooling_face
😴	emj_sleeping_face
😷	emj_face_with_medical_mask
🤒	emj_face_with_thermometer
🤕	emj_face_with_head_bandage
🤢	emj_nauseated_face
🤮	emj_face_vomiting
🤧	emj_sneezing_face
🥵	emj_hot_face
🥶	emj_cold_face
🥴	emj_woozy_face
😵	emj_knocked_out_face
😵‍💫	emj_face_with_spiral_eyes
🤯	emj_exploding_head
🤠	emj_cowboy_hat_face
🥳	emj_partying_face
🥸	emj_disguised_face
😎	emj_smiling_face_with_sunglasses
🤓	emj_nerd_face
🧐	emj_face_with_monocle
😕	emj_confused_face
😟	emj_worried_face
🙁	emj_slightly_frowning_face
☹	emj_frowning_face
😮	emj_face_with_open_mouth
😯	emj_hushed_face
😲	emj_astonished_face
😳	emj_flushed_face
🥺	emj_pleading_face
😦	emj_frowning_face_with_open_mouth
😧	emj_anguished_face
😨	emj_fearful_face
😰	emj_anxious_face_with_sweat
😥	emj_sad_but_relieved_face
😢	emj_crying_face
😭	emj_loudly_crying_face
😱	emj_face_screaming_in_fear
😖	emj_confounded_face
😣	emj_persevering_face
😞	emj_disappointed_face
😓	emj_downcast_face_with_sweat
😩	emj_weary_face
😫	emj_tired_face
